[2026-03-25 00:43:18.986] 11072  INFO [main] --- CrawlFacade: JAVA CLASS PATH = C:\Users\cloud\AppData\Local\Temp\classpath220155016.jar;D:\Program Files\JetBrains\IntelliJ IDEA 2021.3.3\lib\idea_rt.jar
 [2026-03-25 00:43:21.387] 11072  INFO [main] --- CrawlFacade: The following 1 profile is active: "dev"
 [2026-03-25 00:43:22.852] 11072  INFO [main] --- GenericScope: BeanFactory id=4ef726a0-46ed-3a3b-bc9c-f0b294385819
 [2026-03-25 00:43:23.156] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.161] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration' of type [org.springframework.boot.autoconfigure.jackson.JacksonAutoConfiguration$JacksonObjectMapperBuilderConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.168] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jacksonConfig' of type [com.ring.welkin.common.config.JacksonConfig$$EnhancerBySpringCGLIB$$31e0edf0] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.179] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration' of type [org.springframework.cloud.commons.config.CommonsConfigAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.183] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.189] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'loadBalancerClientsDefaultsMappingsProvider' of type [org.springframework.cloud.client.loadbalancer.LoadBalancerDefaultMappingsProviderAutoConfiguration$$Lambda$444/1736238361] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.193] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'defaultsBindHandlerAdvisor' of type [org.springframework.cloud.commons.config.DefaultsBindHandlerAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
 [2026-03-25 00:43:23.198] 11072  INFO [main] --- PostProcessorRegistrationDelegate$BeanPostProcessorChecker: Bean 'jacksonConfig.JacksonExtSerializationProperties' of type [com.ring.welkin.common.config.JacksonConfig$JacksonExtSerializationProperties$$EnhancerBySpringCGLIB$$7c7320a1] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
